AZ,ap-southeast-2a,ap-southeast-2b,ap-southeast-2c,
ap-southeast-2a,0.015,1.139,0.935,
ap-southeast-2b,1.142,0.013,1.297,
ap-southeast-2c,0.964,1.368,0.013,
