# From 13.244.87.77 in af-south-1a
PING 10.1.0.63 (10.1.0.63) 56(84) bytes of data.
64 bytes from 10.1.1.11: icmp_seq=94 ttl=64 time=0.754 ms
64 bytes from 10.1.1.11: icmp_seq=95 ttl=64 time=0.803 ms
64 bytes from 10.1.1.11: icmp_seq=96 ttl=64 time=0.702 ms
64 bytes from 10.1.1.11: icmp_seq=97 ttl=64 time=0.698 ms
64 bytes from 10.1.1.11: icmp_seq=98 ttl=64 time=0.686 ms
64 bytes from 10.1.1.11: icmp_seq=99 ttl=64 time=0.752 ms
64 bytes from 10.1.1.11: icmp_seq=100 ttl=64 time=0.745 ms

--- 10.1.1.11 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 101371ms
rtt min/avg/max/mdev = 0.677/0.736/0.865/0.054 ms
PING 10.1.2.246 (10.1.2.246) 56(84) bytes of data.
64 bytes from 10.1.2.246: icmp_seq=1 ttl=64 time=0.488 ms
64 bytes from 10.1.2.246: icmp_seq=2 ttl=64 time=0.541 ms
64 bytes from 10.1.2.246: icmp_seq=3 ttl=64 time=0.489 ms
64 bytes from 10.1.2.246: icmp_seq=4 ttl=64 time=0.554 ms
64 bytes from 10.1.2.246: icmp_seq=5 ttl=64 time=0.547 ms
64 bytes from 10.1.2.246: icmp_seq=6 ttl=64 time=0.528 ms
64 bytes from 10.1.2.246: icmp_seq=7 ttl=64 time=0.546 ms
64 bytes from 10.1.2.246: icmp_seq=8 ttl=64 time=0.518 ms
64 bytes from 10.1.2.246: icmp_seq=9 ttl=64 time=0.513 ms
64 bytes from 10.1.2.246: icmp_seq=10 ttl=64 time=0.895 ms
64 bytes from 10.1.2.246: icmp_seq=11 ttl=64 time=0.546 ms
64 bytes from 10.1.2.246: icmp_seq=12 ttl=64 time=0.541 ms
64 bytes from 10.1.2.246: icmp_seq=13 ttl=64 time=0.544 ms
64 bytes from 10.1.2.246: icmp_seq=14 ttl=64 time=0.541 ms
64 bytes from 10.1.2.246: icmp_seq=15 ttl=64 time=0.555 ms
64 bytes from 10.1.2.246: icmp_seq=16 ttl=64 time=0.541 ms
64 bytes from 10.1.2.246: icmp_seq=17 ttl=64 time=0.549 ms
64 bytes from 10.1.2.246: icmp_seq=18 ttl=64 time=0.560 ms
64 bytes from 10.1.2.246: icmp_seq=19 ttl=64 time=0.511 ms
64 bytes from 10.1.2.246: icmp_seq=20 ttl=64 time=0.545 ms
64 bytes from 10.1.2.246: icmp_seq=21 ttl=64 time=0.540 ms
64 bytes from 10.1.2.246: icmp_seq=22 ttl=64 time=0.538 ms
64 bytes from 10.1.2.246: icmp_seq=23 ttl=64 time=0.431 ms
64 bytes from 10.1.2.246: icmp_seq=24 ttl=64 time=0.549 ms
64 bytes from 10.1.2.246: icmp_seq=25 ttl=64 time=0.498 ms
64 bytes from 10.1.2.246: icmp_seq=26 ttl=64 time=0.556 ms
64 bytes from 10.1.2.246: icmp_seq=27 ttl=64 time=0.541 ms
64 bytes from 10.1.2.246: icmp_seq=28 ttl=64 time=0.601 ms
64 bytes from 10.1.2.246: icmp_seq=29 ttl=64 time=0.544 ms
64 bytes from 10.1.2.246: icmp_seq=30 ttl=64 time=0.519 ms
64 bytes from 10.1.2.246: icmp_seq=31 ttl=64 time=0.485 ms
64 bytes from 10.1.2.246: icmp_seq=32 ttl=64 time=0.531 ms
64 bytes from 10.1.2.246: icmp_seq=33 ttl=64 time=0.561 ms
64 bytes from 10.1.2.246: icmp_seq=34 ttl=64 time=0.553 ms
64 bytes from 10.1.2.246: icmp_seq=35 ttl=64 time=0.541 ms
64 bytes from 10.1.2.246: icmp_seq=36 ttl=64 time=0.540 ms
64 bytes from 10.1.2.246: icmp_seq=37 ttl=64 time=0.510 ms
64 bytes from 10.1.2.246: icmp_seq=38 ttl=64 time=0.540 ms
64 bytes from 10.1.2.246: icmp_seq=39 ttl=64 time=0.549 ms
64 bytes from 10.1.2.246: icmp_seq=40 ttl=64 time=0.541 ms
64 bytes from 10.1.2.246: icmp_seq=41 ttl=64 time=0.518 ms
64 bytes from 10.1.2.246: icmp_seq=42 ttl=64 time=0.540 ms
64 bytes from 10.1.2.246: icmp_seq=43 ttl=64 time=0.546 ms
64 bytes from 10.1.2.246: icmp_seq=44 ttl=64 time=0.536 ms
64 bytes from 10.1.2.246: icmp_seq=45 ttl=64 time=0.531 ms
64 bytes from 10.1.2.246: icmp_seq=46 ttl=64 time=0.534 ms
64 bytes from 10.1.2.246: icmp_seq=47 ttl=64 time=0.520 ms
64 bytes from 10.1.2.246: icmp_seq=48 ttl=64 time=0.538 ms
64 bytes from 10.1.2.246: icmp_seq=49 ttl=64 time=0.521 ms
64 bytes from 10.1.2.246: icmp_seq=50 ttl=64 time=0.436 ms
64 bytes from 10.1.2.246: icmp_seq=51 ttl=64 time=0.538 ms
64 bytes from 10.1.2.246: icmp_seq=52 ttl=64 time=0.534 ms
64 bytes from 10.1.2.246: icmp_seq=53 ttl=64 time=0.495 ms
64 bytes from 10.1.2.246: icmp_seq=54 ttl=64 time=0.539 ms
64 bytes from 10.1.2.246: icmp_seq=55 ttl=64 time=0.555 ms
64 bytes from 10.1.2.246: icmp_seq=56 ttl=64 time=0.544 ms
64 bytes from 10.1.2.246: icmp_seq=57 ttl=64 time=0.502 ms
64 bytes from 10.1.2.246: icmp_seq=58 ttl=64 time=0.558 ms
64 bytes from 10.1.2.246: icmp_seq=59 ttl=64 time=0.494 ms
64 bytes from 10.1.2.246: icmp_seq=60 ttl=64 time=0.535 ms
64 bytes from 10.1.2.246: icmp_seq=61 ttl=64 time=0.501 ms
