PING 10.1.0.155 (10.1.0.155) 56(84) bytes of data.
64 bytes from 10.1.1.112: icmp_seq=27 ttl=64 time=0.030 ms
64 bytes from 10.1.1.112: icmp_seq=28 ttl=64 time=0.041 ms
64 bytes from 10.1.1.112: icmp_seq=29 ttl=64 time=0.030 ms
64 bytes from 10.1.1.112: icmp_seq=30 ttl=64 time=0.030 ms
64 bytes from 10.1.1.112: icmp_seq=31 ttl=64 time=0.029 ms
64 bytes from 10.1.1.112: icmp_seq=32 ttl=64 time=0.029 ms
64 bytes from 10.1.1.112: icmp_seq=33 ttl=64 time=0.028 ms
64 bytes from 10.1.1.112: icmp_seq=34 ttl=64 time=0.040 ms
64 bytes from 10.1.1.112: icmp_seq=35 ttl=64 time=0.022 ms
64 bytes from 10.1.1.112: icmp_seq=36 ttl=64 time=0.040 ms
64 bytes from 10.1.1.112: icmp_seq=37 ttl=64 time=0.030 ms
64 bytes from 10.1.1.112: icmp_seq=38 ttl=64 time=0.019 ms
64 bytes from 10.1.1.112: icmp_seq=39 ttl=64 time=0.041 ms
64 bytes from 10.1.1.112: icmp_seq=40 ttl=64 time=0.030 ms
64 bytes from 10.1.1.112: icmp_seq=41 ttl=64 time=0.031 ms
64 bytes from 10.1.1.112: icmp_seq=42 ttl=64 time=0.032 ms
64 bytes from 10.1.1.112: icmp_seq=43 ttl=64 time=0.028 ms
64 bytes from 10.1.1.112: icmp_seq=44 ttl=64 time=0.030 ms
64 bytes from 10.1.1.112: icmp_seq=45 ttl=64 time=0.041 ms
64 bytes from 10.1.1.112: icmp_seq=46 ttl=64 time=0.041 ms
64 bytes from 10.1.1.112: icmp_seq=47 ttl=64 time=0.043 ms
64 bytes from 10.1.1.112: icmp_seq=48 ttl=64 time=0.029 ms
64 bytes from 10.1.1.112: icmp_seq=49 ttl=64 time=0.043 ms
64 bytes from 10.1.1.112: icmp_seq=50 ttl=64 time=0.044 ms

--- 10.1.1.112 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 50172ms
rtt min/avg/max/mdev = 0.013/0.032/0.055/0.010 ms
PING 10.1.2.215 (10.1.2.215) 56(84) bytes of data.
64 bytes from 10.1.2.215: icmp_seq=1 ttl=64 time=1.28 ms
64 bytes from 10.1.2.215: icmp_seq=2 ttl=64 time=1.24 ms
64 bytes from 10.1.2.215: icmp_seq=3 ttl=64 time=1.26 ms
64 bytes from 10.1.2.215: icmp_seq=4 ttl=64 time=1.24 ms
64 bytes from 10.1.2.215: icmp_seq=5 ttl=64 time=1.31 ms
64 bytes from 10.1.2.215: icmp_seq=6 ttl=64 time=1.26 ms
64 bytes from 10.1.2.215: icmp_seq=7 ttl=64 time=1.24 ms
64 bytes from 10.1.2.215: icmp_seq=8 ttl=64 time=1.31 ms
