# From 18.140.243.188 in ap-southeast-1c
PING 10.1.0.155 (10.1.0.155) 56(84) bytes of data.
64 bytes from 10.1.0.155: icmp_seq=50 ttl=64 time=0.632 ms
64 bytes from 10.1.0.155: icmp_seq=51 ttl=64 time=0.595 ms
64 bytes from 10.1.0.155: icmp_seq=52 ttl=64 time=0.620 ms
64 bytes from 10.1.0.155: icmp_seq=53 ttl=64 time=0.650 ms
64 bytes from 10.1.0.155: icmp_seq=54 ttl=64 time=0.605 ms
64 bytes from 10.1.0.155: icmp_seq=55 ttl=64 time=0.632 ms
64 bytes from 10.1.0.155: icmp_seq=56 ttl=64 time=0.676 ms
64 bytes from 10.1.0.155: icmp_seq=57 ttl=64 time=0.620 ms
64 bytes from 10.1.0.155: icmp_seq=58 ttl=64 time=0.584 ms
64 bytes from 10.1.0.155: icmp_seq=59 ttl=64 time=0.595 ms
64 bytes from 10.1.0.155: icmp_seq=60 ttl=64 time=0.668 ms
64 bytes from 10.1.0.155: icmp_seq=61 ttl=64 time=0.627 ms
64 bytes from 10.1.0.155: icmp_seq=62 ttl=64 time=0.591 ms
64 bytes from 10.1.0.155: icmp_seq=63 ttl=64 time=0.586 ms
64 bytes from 10.1.0.155: icmp_seq=64 ttl=64 time=0.637 ms
64 bytes from 10.1.0.155: icmp_seq=65 ttl=64 time=0.611 ms
64 bytes from 10.1.0.155: icmp_seq=66 ttl=64 time=0.606 ms
64 bytes from 10.1.0.155: icmp_seq=67 ttl=64 time=0.659 ms
64 bytes from 10.1.0.155: icmp_seq=68 ttl=64 time=1.14 ms
64 bytes from 10.1.0.155: icmp_seq=69 ttl=64 time=0.623 ms
64 bytes from 10.1.0.155: icmp_seq=70 ttl=64 time=0.603 ms
64 bytes from 10.1.0.155: icmp_seq=71 ttl=64 time=0.615 ms
64 bytes from 10.1.0.155: icmp_seq=72 ttl=64 time=0.599 ms
64 bytes from 10.1.0.155: icmp_seq=73 ttl=64 time=0.608 ms
64 bytes from 10.1.0.155: icmp_seq=74 ttl=64 time=0.578 ms
64 bytes from 10.1.0.155: icmp_seq=75 ttl=64 time=0.675 ms
64 bytes from 10.1.0.155: icmp_seq=76 ttl=64 time=0.572 ms
64 bytes from 10.1.0.155: icmp_seq=77 ttl=64 time=0.669 ms
64 bytes from 10.1.0.155: icmp_seq=78 ttl=64 time=0.603 ms
64 bytes from 10.1.0.155: icmp_seq=79 ttl=64 time=0.627 ms
64 bytes from 10.1.0.155: icmp_seq=80 ttl=64 time=0.574 ms
